# File: data/simulation/Pulse_template_nectarCam_17042020-noshift.dat
# Provinance: CTAO prod-5 simulations model (retrieved 2025-12-25)
# - GIT: gitlab.cta-observatory.org:cta-science/simulations/simulation-model/simulation-models
#   -> simulation-models/model_parameters/Files/Pulse_template_nectarCam_17042020-noshift.dat
# Copyright notice: Copyright (c) 2025, CTAO & simtools developers
# License: BSD 3-Clause License (simulation-models/LICENSE)
# Comment: Nectarcam impulse response in units of ADC counts in the HG or LG channels
#
# NectarCam single-p.e. pulse shape (HG and LG).
# Table provided by Thomas Armstrong 2020-04-17.
# Peak position is about 25 ns earlier than in previous pulse shapes.
#
# SJF 2026-01-07: modified to add third digit to time column to allow 1/8 ns time
# resolution be correctly represented
$
# T     HG      LG
#[ns]   [adc.]  [adc.]
#
23.625 -0.360940 -0.025781
23.750 -0.364090 -0.026006
23.875 -0.362540 -0.025896
24.000 -0.354110 -0.025294
24.125 -0.344190 -0.024585
24.250 -0.333160 -0.023797
24.375 -0.325550 -0.023254
24.500 -0.316170 -0.022584
24.625 -0.297490 -0.021250
24.750 -0.275640 -0.019689
24.875 -0.255680 -0.018263
25.000 -0.237210 -0.016943
25.125 -0.219890 -0.015706
25.250 -0.205230 -0.014659
25.375 -0.193620 -0.013830
25.500 -0.189210 -0.013515
25.625 -0.196800 -0.014057
25.750 -0.213510 -0.015251
25.875 -0.235460 -0.016818
26.000 -0.262900 -0.018778
26.125 -0.291620 -0.020830
26.250 -0.317220 -0.022659
26.375 -0.341350 -0.024382
26.500 -0.363830 -0.025988
26.625 -0.381970 -0.027284
26.750 -0.395340 -0.028238
26.875 -0.403400 -0.028815
27.000 -0.410200 -0.029300
27.125 -0.411940 -0.029424
27.250 -0.407620 -0.029115
27.375 -0.394840 -0.028203
27.500 -0.372900 -0.026636
27.625 -0.347210 -0.024801
27.750 -0.319500 -0.022822
27.875 -0.291790 -0.020842
28.000 -0.258850 -0.018489
28.125 -0.229780 -0.016413
28.250 -0.211310 -0.015094
28.375 -0.202670 -0.014476
28.500 -0.207400 -0.014814
28.625 -0.217810 -0.015558
28.750 -0.232130 -0.016581
28.875 -0.252730 -0.018052
29.000 -0.276700 -0.019764
29.125 -0.302030 -0.021574
29.250 -0.324350 -0.023168
29.375 -0.345480 -0.024677
29.500 -0.362140 -0.025867
29.625 -0.378560 -0.027040
29.750 -0.390900 -0.027922
29.875 -0.397800 -0.028414
30.000 -0.406510 -0.029036
30.125 -0.410500 -0.029322
30.250 -0.409700 -0.029264
30.375 -0.406500 -0.029036
30.500 -0.400210 -0.028586
30.625 -0.390950 -0.027925
30.750 -0.383030 -0.027359
30.875 -0.373480 -0.026677
31.000 -0.359780 -0.025699
31.125 -0.347570 -0.024826
31.250 -0.338780 -0.024198
31.375 -0.330930 -0.023638
31.500 -0.325310 -0.023236
31.625 -0.318120 -0.022723
31.750 -0.310020 -0.022144
31.875 -0.305360 -0.021812
32.000 -0.304410 -0.021744
32.125 -0.306580 -0.021899
32.250 -0.310460 -0.022176
32.375 -0.316140 -0.022582
32.500 -0.324210 -0.023158
32.625 -0.336330 -0.024023
32.750 -0.349850 -0.024989
32.875 -0.362090 -0.025864
33.000 -0.372240 -0.026588
33.125 -0.379930 -0.027138
33.250 -0.385690 -0.027549
33.375 -0.389360 -0.027811
33.500 -0.390220 -0.027873
33.625 -0.389670 -0.027834
33.750 -0.389120 -0.027794
33.875 -0.388500 -0.027750
34.000 -0.388070 -0.027719
34.125 -0.387740 -0.027695
34.250 -0.387380 -0.027670
34.375 -0.387030 -0.027645
34.500 -0.386670 -0.027620
34.625 -0.386330 -0.027595
34.750 -0.386040 -0.027574
34.875 -0.385870 -0.027562
35.000 -0.385700 -0.027550
35.125 -0.385520 -0.027537
35.250 -0.385350 -0.027525
35.375 -0.385180 -0.027513
35.500 -0.385000 -0.027500
35.625 -0.384820 -0.027487
35.750 -0.384790 -0.027485
35.875 -0.384980 -0.027499
